Disaster Type,Events,Events/​Year,Percent Frequency,Total Costs,Percent of Total Costs,Cost/​Event,Cost/​Year,Deaths,Deaths/​Year
Drought,32.0,0.7,7.9,367.6,12.6,11.5,8.2,4658.0,104.0
Flooding,45.0,1.0,11.2,203.3,7.0,4.5,4.5,765.0,17.0
Freeze,9.0,0.2,2.2,37.4,1.3,4.2,0.8,162.0,4.0
Severe Storm,203.0,4.5,50.4,514.4,17.6,2.5,11.4,2145.0,48.0
Tropical Cyclone,67.0,1.5,16.6,1543.3,52.9,23.0,34.3,7211.0,160.0
Wildfire,23.0,0.5,5.7,147.9,5.1,6.4,3.3,537.0,12.0
Winter Storm,24.0,0.5,6.0,104.2,3.6,4.3,2.3,1463.0,33.0
All Disasters,403.0,9.0,100.0,2918.1,100.0,7.2,64.8,16941.0,376.0
Drought,32.0,0.7,9.2,214.5,10.6,6.7,4.8,4658.0,104.0
Flooding,38.0,0.8,11.0,119.5,5.9,3.1,2.7,666.0,15.0
Freeze,8.0,0.2,2.3,15.5,0.8,1.9,0.3,162.0,4.0
Severe Storm,168.0,3.7,48.6,365.4,18.1,2.2,8.1,1768.0,39.0
Tropical Cyclone,62.0,1.4,17.9,1128.9,55.9,18.2,25.1,7168.0,159.0
Wildfire,21.0,0.5,6.1,110.1,5.5,5.2,2.4,520.0,12.0
Winter Storm,17.0,0.4,4.9,64.1,3.2,3.8,1.4,1120.0,25.0
All Disasters,346.0,7.7,100.0,2018.0,100.0,5.8,44.8,16062.0,357.0
