Time Period,Billion-Dollar Disasters,Events/Year,Cost,Percent of Total Cost,Cost/Year,Deaths,Deaths/Year
1980s (1980-1989),33.0,3.3,219.8,7.5,22.0,3017.0,302.0
1990s (1990-1999),57.0,5.7,335.3,11.5,33.5,3075.0,308.0
2000s (2000-2009),67.0,6.7,621.6,21.3,62.2,3102.0,310.0
2010s (2010-2019),131.0,13.1,994.7,34.1,99.5,5227.0,523.0
Last 5 Years (2020-2024),115.0,23.0,746.7,25.6,149.3,2520.0,504.0
Last 3 Years (2022-2024),73.0,24.3,461.6,15.8,153.9,1534.0,511.0
Last Year (2024),27.0,27.0,182.7,6.3,182.7,568.0,568.0
All Years (1980-2024),403.0,9.0,2918.1,100.0,64.8,16941.0,376.0
1980s (1980-1989),15.0,1.5,62.2,3.1,6.2,2306.0,231.0
1990s (1990-1999),42.0,4.2,146.4,7.3,14.6,2979.0,298.0
2000s (2000-2009),55.0,5.5,377.5,18.7,37.8,3041.0,304.0
2010s (2010-2019),119.0,11.9,747.5,37.0,74.8,5216.0,522.0
Last 5 Years (2020-2024),115.0,23.0,684.4,33.9,136.9,2520.0,504.0
Last 3 Years (2022-2024),73.0,24.3,443.9,22.0,148.0,1534.0,511.0
Last Year (2024),27.0,27.0,182.1,9.0,182.1,568.0,568.0
All Years (1980-2024),346.0,7.7,2018.0,100.0,44.8,16062.0,357.0
